User ID,Item ID
0,234094
0,78040
0,78038
0,78037
0,78036
0,78035
0,78034
0,78033
0,78032
0,78031
1,60279
1,6949
1,206048
1,100288
1,135298
1,129876
1,178020
1,213295
1,125207
1,208636
2,234094
2,78040
2,78038
2,78037
2,78036
2,78035
2,78034
2,78033
2,78032
2,78031
3,141515
3,78475
3,163639
3,220524
3,115476
3,136978
3,176612
3,168968
3,231171
3,230786
4,234094
4,78040
4,78038
4,78037
4,78036
4,78035
4,78034
4,78033
4,78032
4,78031
5,234094
5,78040
5,78038
5,78037
5,78036
5,78035
5,78034
5,78033
5,78032
5,78031
6,234094
6,78040
6,78038
6,78037
6,78036
6,78035
6,78034
6,78033
6,78032
6,78031
7,234094
7,78040
7,78038
7,78037
7,78036
7,78035
7,78034
7,78033
7,78032
7,78031
8,234094
8,78040
8,78038
8,78037
8,78036
8,78035
8,78034
8,78033
8,78032
8,78031
9,234094
9,78040
9,78038
9,78037
9,78036
9,78035
9,78034
9,78033
9,78032
9,78031
10,84987
10,52687
10,228316
10,124669
10,131516
10,25274
10,228240
10,198566
10,115747
10,33502
11,234094
11,78040
11,78038
11,78037
11,78036
11,78035
11,78034
11,78033
11,78032
11,78031
12,234094
12,78040
12,78038
12,78037
12,78036
12,78035
12,78034
12,78033
12,78032
12,78031
13,234094
13,78040
13,78038
13,78037
13,78036
13,78035
13,78034
13,78033
13,78032
13,78031
14,98495
14,46687
14,162902
14,208317
14,63280
14,55551
14,197708
14,158678
14,218773
14,231850
15,182140
15,213132
15,232026
15,184816
15,34732
15,206080
15,143731
15,184341
15,27779
15,55946
16,234094
16,78040
16,78038
16,78037
16,78036
16,78035
16,78034
16,78033
16,78032
16,78031
17,234094
17,78040
17,78038
17,78037
17,78036
17,78035
17,78034
17,78033
17,78032
17,78031
18,19625
18,8778
18,150687
18,231668
18,141515
18,120665
18,220524
18,141163
18,71531
18,128154
19,234094
19,78040
19,78038
19,78037
19,78036
19,78035
19,78034
19,78033
19,78032
19,78031
20,234094
20,78040
20,78038
20,78037
20,78036
20,78035
20,78034
20,78033
20,78032
20,78031
21,113187
21,168336
21,103130
21,153941
21,146911
21,14242
21,11755
21,210746
21,115747
21,197953
22,214376
22,114443
22,220570
22,171013
22,103841
22,21609
22,50311
22,229196
22,156432
22,21698
23,234094
23,78040
23,78038
23,78037
23,78036
23,78035
23,78034
23,78033
23,78032
23,78031
24,184804
24,211953
24,183323
24,161565
24,232868
24,37669
24,172549
24,208890
24,147907
24,232619
25,51860
25,233601
25,157937
25,209711
25,205915
25,53159
25,85267
25,200264
25,142637
25,94790
26,234094
26,78040
26,78038
26,78037
26,78036
26,78035
26,78034
26,78033
26,78032
26,78031
27,85151
27,224018
27,149631
27,49526
27,198566
27,168624
27,192214
27,3423
27,115476
27,228316
28,234094
28,78040
28,78038
28,78037
28,78036
28,78035
28,78034
28,78033
28,78032
28,78031
29,234094
29,78040
29,78038
29,78037
29,78036
29,78035
29,78034
29,78033
29,78032
29,78031
30,66705
30,71531
30,157317
30,15255
30,123301
30,137441
30,174371
30,78475
30,68459
30,44136
31,234094
31,78040
31,78038
31,78037
31,78036
31,78035
31,78034
31,78033
31,78032
31,78031
32,234094
32,78040
32,78038
32,78037
32,78036
32,78035
32,78034
32,78033
32,78032
32,78031
33,234094
33,78040
33,78038
33,78037
33,78036
33,78035
33,78034
33,78033
33,78032
33,78031
34,143673
34,155044
34,214017
34,188549
34,2972
34,58177
34,191313
34,15716
34,138438
34,212103
35,113578
35,122930
35,46687
35,214844
35,138892
35,183771
35,27779
35,129172
35,78198
35,213132
36,183771
36,80845
36,92312
36,165347
36,109412
36,72097
36,74461
36,96532
36,157534
36,9962
37,133969
37,174394
37,19743
37,37708
37,11212
37,164961
37,193040
37,190295
37,208636
37,117048
38,234094
38,78040
38,78038
38,78037
38,78036
38,78035
38,78034
38,78033
38,78032
38,78031
39,3423
39,33295
39,5430
39,142536
39,86384
39,85531
39,63280
39,184306
39,67225
39,213132
40,143673
40,155044
40,214017
40,135298
40,129876
40,219784
40,4544
40,119125
40,98495
40,47039
41,117048
41,60702
41,219028
41,38523
41,226497
41,196444
41,32213
41,208890
41,134784
41,152105
42,188549
42,159087
42,6955
42,96174
42,117048
42,166478
42,35684
42,35754
42,133367
42,116200
43,234094
43,78040
43,78038
43,78037
43,78036
43,78035
43,78034
43,78033
43,78032
43,78031
44,209217
44,228316
44,25274
44,185039
44,78198
44,147113
44,11655
44,88032
44,122034
44,19516
45,66705
45,95005
45,107369
45,215975
45,72870
45,181788
45,223232
45,228316
45,198566
45,25274
46,55946
46,233390
46,155413
46,74121
46,85151
46,19743
46,43754
46,49635
46,39725
46,58858
47,141515
47,78475
47,228641
47,209217
47,21611
47,56334
47,228170
47,72130
47,61405
47,31628
48,234094
48,78040
48,78038
48,78037
48,78036
48,78035
48,78034
48,78033
48,78032
48,78031
49,234094
49,78040
49,78038
49,78037
49,78036
49,78035
49,78034
49,78033
49,78032
49,78031
50,234094
50,78040
50,78038
50,78037
50,78036
50,78035
50,78034
50,78033
50,78032
50,78031
51,160583
51,150687
51,115152
51,45549
51,182439
51,175590
51,193040
51,188742
51,75140
51,202393
52,234094
52,78040
52,78038
52,78037
52,78036
52,78035
52,78034
52,78033
52,78032
52,78031
53,143673
53,155044
53,172128
53,214017
53,12770
53,192523
53,51899
53,137050
53,164444
53,157861
54,100288
54,141515
54,167587
54,84289
54,151884
54,165505
54,154904
54,3547
54,135298
54,129876
55,134392
55,5640
55,83539
55,141515
55,213011
55,78475
55,56654
55,3423
55,168336
55,56334
56,208890
56,168336
56,132969
56,113187
56,60702
56,21611
56,55610
56,226497
56,78475
56,153941
