User ID,Item ID
0,234053
0,78026
0,78024
0,78023
0,78022
0,78021
0,78020
0,78019
0,78018
0,78017
1,164289
1,90473
1,170079
1,115188
1,85531
1,82465
1,98363
1,9134
1,81160
1,117620
2,132808
2,207122
2,139682
2,144080
2,212854
2,137441
2,107362
2,145270
2,113998
2,163629
3,234053
3,78026
3,78024
3,78023
3,78022
3,78021
3,78020
3,78019
3,78018
3,78017
4,234053
4,78026
4,78024
4,78023
4,78022
4,78021
4,78020
4,78019
4,78018
4,78017
5,155268
5,65312
5,117809
5,95452
5,13405
5,227732
5,44169
5,174741
5,38748
5,161216
6,224621
6,106844
6,228414
6,177834
6,10783
6,4237
6,74473
6,211456
6,30079
6,43826
7,234053
7,78026
7,78024
7,78023
7,78022
7,78021
7,78020
7,78019
7,78018
7,78017
8,234053
8,78026
8,78024
8,78023
8,78022
8,78021
8,78020
8,78019
8,78018
8,78017
9,5695
9,170079
9,107362
9,61445
9,36353
9,69322
9,72517
9,186453
9,13672
9,170798
10,219867
10,224972
10,225488
10,36433
10,67182
10,94084
10,227980
10,78730
10,228795
10,134150
11,234053
11,78026
11,78024
11,78023
11,78022
11,78021
11,78020
11,78019
11,78018
11,78017
12,234053
12,78026
12,78024
12,78023
12,78022
12,78021
12,78020
12,78019
12,78018
12,78017
13,234053
13,78026
13,78024
13,78023
13,78022
13,78021
13,78020
13,78019
13,78018
13,78017
14,11722
14,30069
14,102566
14,132361
14,6272
14,133533
14,64527
14,176704
14,103023
14,7875
15,234053
15,78026
15,78024
15,78023
15,78022
15,78021
15,78020
15,78019
15,78018
15,78017
16,119472
16,55099
16,150943
16,97430
16,52429
16,10118
16,98363
16,132808
16,213754
16,10850
17,234053
17,78026
17,78024
17,78023
17,78022
17,78021
17,78020
17,78019
17,78018
17,78017
18,234053
18,78026
18,78024
18,78023
18,78022
18,78021
18,78020
18,78019
18,78018
18,78017
19,140373
19,191503
19,106293
19,135262
19,82508
19,227447
19,170828
19,207165
19,171328
19,54133
20,114927
20,54119
20,10783
20,170839
20,228414
20,229669
20,207122
20,223477
20,202932
20,12786
21,234053
21,78026
21,78024
21,78023
21,78022
21,78021
21,78020
21,78019
21,78018
21,78017
22,68633
22,11722
22,157449
22,105712
22,38078
22,131973
22,18636
22,122047
22,1935
22,170756
23,234053
23,78026
23,78024
23,78023
23,78022
23,78021
23,78020
23,78019
23,78018
23,78017
24,234053
24,78026
24,78024
24,78023
24,78022
24,78021
24,78020
24,78019
24,78018
24,78017
25,57961
25,10765
25,195900
25,103279
25,9683
25,37481
25,121054
25,38590
25,68961
25,30677
26,234053
26,78026
